stockid,stocklong,year,BvBmsy,FvFmsy,MSY,region,country
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,2016,1.45197202300761,0.275000006875,9318.000000000007,US East Coast,USA
ACMACKSARG,Argentine chub mackerel Southern Argentina,2019,1.79783908101993,0.226141149238289,15199.999999999984,South America,Argentina
ALBAIO,Albacore tuna Indian Ocean,2014,1.8,0.846,38800.000000000124,Indian Ocean,Taiwan
ALBAMED,Albacore tuna Mediterranean Sea,2010,1.23,0.816,28900.00000000002,Mediterranean-Black Sea,Spain
ALBANATL,Albacore tuna Northern Atlantic,2013,1.32,0.507,36501.61943319837,Atlantic Ocean,Spain
ALBANPAC,Albacore tuna North Pacific Ocean,2012,2.94,0.662,122288.602244389,Pacific Ocean,Japan
ALBASATL,Albacore tuna South Atlantic,2013,1.15,0.565,25278.476562499996,Atlantic Ocean,Taiwan
ALBASPAC,Albacore tuna South Pacific Ocean,2013,2.86,0.47,76799.99999999977,Pacific Ocean,Taiwan
AMPL5YZ,American plaice Gulf of Maine / Georges Bank,2016,0.988743242242465,0.504545456838843,2923.9999999999973,US East Coast,USA
ANCHMEDGSA16,Anchovy South of Sicily,2011,0.669,2.76835216898324,2359.000000000001,Mediterranean-Black Sea,Italy
APOLLNSJ,Walleye pollock Sea of Japan North,2013,0.108680924912147,1.4113306832156,45206.50965,Japan,Japan
APOLLPJPN,Walleye pollock Pacific Coast of Japan,2013,1.51903403024479,0.985221674876845,176347.69860000003,Japan,Japan
ARFLOUNDGA,Arrowtooth flounder Gulf of Alaska,2010,3.5843955195056,0.0460516350947431,274726.70286995504,US Alaska,USA
ARFLOUNDPCOAST,Arrowtooth flounder Pacific Coast,2016,2.8714861875069,0.27277143324751,6774.799804999996,US West Coast,USA
ARGANCHONARG,Argentine anchoita Northern Argentina,2015,2.00084013024954,0.0164307692307692,222662.13627805604,South America,Argentina
ARGANCHOSARG,Argentine anchoita Southern Argentina,2015,2.99972128236983,0.00470547945205479,454199.12280701764,South America,Argentina
ARGHAKENARG,Argentine hake Northern Argentina,2018,0.281494342475138,0.849489795918367,138112.00000000012,South America,Argentina
ARGHAKESARG,Argentine hake Southern Argentina,2018,0.807555813556837,0.956989247311828,527520.9999999997,South America,Argentina
ATBTUNAEATL,Atlantic bluefin tuna Eastern Atlantic,2012,1.73,0.376,14143.627798165147,Atlantic Ocean,Spain
ATBTUNAWATL,Atlantic bluefin tuna Western Atlantic,2012,0.479,0.983,5263.315200000001,Atlantic Ocean,USA
ATHAL5YZ,Atlantic halibut Gulf of Maine / Georges Bank,2007,0.026530612244898,0.91000000546,1741.686460807598,US East Coast,USA
ATOOTHFISHRS,Antarctic toothfish Ross Sea,2007,4.03145161978301,0.246424908896197,3105.3982000000005,Other,New Zealand
AUROCKPCOAST,Aurora rockfish Pacific Coast,2012,1.59047619047619,0.614,71.99999999999996,US West Coast,USA
AUSSALMONNZ,Australian salmon New Zealand,2006,1.49886877828054,0.27,2242.8624107142873,New Zealand,New Zealand
AWOLF5YZ,Atlantic wolffish Gulf of Maine / Georges Bank,2016,0.404466501240695,0.00909090913223141,231.99999999999977,US East Coast,USA
BGRDRNSWWA,Blue grenadier New South Wales to Western Australia,2017,3.1151255841767,0.0997333156848659,5506.026156000004,Australia,Australia
BGROCKPCOAST,Blackgill rockfish Pacific Coast,2016,0.954457364341085,0.346,188.00000000000023,US West Coast,USA
BHEADSHARATL,Bonnethead shark Atlantic,2011,1.27253668763103,0.505,30.487533875338766,US Southeast and Gulf,USA
BIGEYEATL,Bigeye tuna Atlantic Ocean,2009,0.852,1.52,84150.17064846413,Atlantic Ocean,Japan
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,2012,1.49,0.648,109189.87654320983,Pacific Ocean,Japan
BIGEYEEPAC,Bigeye tuna Eastern Pacific,2016,1.19,0.831,106201.00000000003,Pacific Ocean,Japan
BIGEYEIO,Bigeye tuna Indian Ocean,2015,1.3,0.755,103999.99999999999,Indian Ocean,Indonesia
BIGHTREDSE,Bight redfish Southeast Australia,2014,2.81851219706901,0.195186650810038,624.7468833999998,Australia,Australia
BKCDLFENI,Black cardinalfish East coast of North Island,2009,0.25276505418389,1.07272727272727,666.0000000000007,New Zealand,New Zealand
BLACKOREOPR,Black oreo Pukaki Rise,2009,0.814622868403494,1.53333333333333,670,New Zealand,New Zealand
BLACKOREOWECR,Black oreo West end of Chatham Rise,2007,0.991723484157947,0.395275614021787,1947.0000000000002,New Zealand,New Zealand
BLACKROCKCAL,Black rockfish California,2014,0.774117647058824,1.068,342.99999999999943,US West Coast,USA
BLACKROCKORECOAST,Black rockfish Oregon Coast,2014,1.52396085370698,0.834,518.0000000000002,US West Coast,USA
BLKMARLINIO,Black marlin Indian Ocean,2011,1.17,1.11533573235854,8604.999999999976,Indian Ocean,Iran
BLSHARNPAC,Blue shark North Pacific Ocean,2011,1.62,0.358,72122.99999999994,Pacific Ocean,Japan
BLTILESATLC,Blueline tilefish Southern Atlantic coast,2015,1.05624193831525,0.680251478934826,96.24360405999995,US Southeast and Gulf,USA
BLUEFISHATLC,Bluefish Atlantic Coast,2014,0.777681878663646,0.923529411764706,13967.000000000005,US East Coast,USA
BLUEROCKCAL,Blue rockfish California,2007,0.74849578820698,1.19106699751861,275.0000000000001,US West Coast,USA
BMACKECS,Spotted mackerel East China Sea,2018,0.798165137614679,1.83870967741935,75999.99999999996,Japan,Japan
BMACKPJPN,Spotted mackerel Pacific Coast of Japan,2018,0.335443037974684,1.03703703703704,105000.00000000012,Japan,Japan
BMARLINATL,Blue marlin Atlantic Ocean,2010,0.55,3.90179367095443,3055.9999999999995,Atlantic Ocean,Japan
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2011,1.03,1.0053431318761,9524.000000000016,Indian Ocean,Taiwan
BMARLINPAC,Blue marlin Pacific Ocean,2011,1.29,0.72,19459,Pacific Ocean,Japan
BNSNZ,Bluenose New Zealand,2011,0.408073034916234,2.5071312584881,1208.9999999999984,New Zealand,New Zealand
BOCACCSPCOAST,Bocaccio Southern Pacific Coast,2016,1.01875593706588,0.11,1934,US West Coast,USA
BRNROCKPCOAST,Brown rockfish Pacific Coast,2012,0.961974649766513,0.65631067961165,149.9000000000001,US West Coast,USA
BSBASSMATLC,Black sea bass Mid-Atlantic Coast,2015,0.976487019007881,0.391044806698178,3097.0000000000023,US East Coast,USA
BSBASSSATL,Black sea bass South Atlantic,2016,0.713333333333333,0.635483866867846,423.9270721000003,US Southeast and Gulf,USA
BUTTERGOMCHATT,Atlantic butterfish Gulf of Maine / Cape Hatteras,2016,1411.25920729569,0.0617283949093126,36199,US East Coast,USA
CABEZNCAL,Cabezon Northern California,2008,1.70428015564202,0.222222222222222,128.99999999999994,US West Coast,USA
CABEZORECOAST,Cabezon Oregon Coast,2008,2.07339449541284,0.559006211180124,48,US West Coast,USA
CABEZSCAL,Cabezon Southern California,2008,2.44776119402985,0.181818181818182,30.000000000000032,US West Coast,USA
CALSCORPSCAL,California scorpionfish Southern California,2016,1.19238691066039,0.46858,247.19999690000023,US West Coast,USA
CHAKESA,Shallow water cape hake South Africa,2015,2.47,0.14,62799.999999999956,Southern Africa,South Africa
CHILISPCOAST,Chilipepper Southern Pacific Coast,2016,1.64338235294118,0.05478,2063.999999999999,US West Coast,USA
CHROCKCPCOAST,China rockfish Central Pacific Coast,2014,1.52307692307692,0.53,15.699999999999998,US West Coast,USA
CHROCKSPCOAST,China rockfish Southern Pacific Coast,2014,0.672932330827068,1.044,21.100000000000016,US West Coast,USA
CMACKPCOAST,Pacific chub mackerel Pacific Coast,2008,0.679977443055976,0.390288862952376,9007.303854014595,US West Coast,USA
CMACKPJPN,Chub mackerel Pacific Coast of Japan,2018,0.766990291262136,0.9,372000.0000000003,Japan,Japan
CMACKTSST,Chub mackerel Tsushima Strait,2018,0.767741935483871,1.21621621621622,322999.9999999998,Japan,Japan
COBGM,Cobia Gulf of Mexico,2011,1.07021791767554,1.78835978835979,1208,US Southeast and Gulf,USA
COBSATLC,Cobia Southern Atlantic coast,2011,1.29183587928465,0.422993492407809,366.5023360000002,US Southeast and Gulf,USA
CODBA2224,Atlantic cod Western Baltic,2011,0.618440299872006,3.73461538461538,16934.203904294478,European Union,Denmark
CODGB,Atlantic cod Georges Bank,2011,0.119012517758061,1.28333333333333,21513.805298013267,US East Coast,USA
CODGOM,Atlantic cod Gulf of Maine,2014,0.0430180370903548,4.98395721925134,10049.831972789128,US East Coast,USA
CODVIIek,Atlantic cod Celtic Sea,2011,0.87,1.41926345609065,17363.792372881355,European Union,France
COWCODSCAL,Cowcod Southern California,2015,0.888712241653418,0.0181818181818182,69.00000000000003,US West Coast,USA
CPRROCKPCOAST,Copper rockfish Pacific Coast,2012,1.45199776615729,0.332954545454545,196.96999999999997,US West Coast,USA
CROCKPCOAST,Canary rockfish Pacific Coast,2016,1.38880699103722,0.14982,1196.8900149999947,US West Coast,USA
CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands,2009,1.37323943661972,0.737704918032787,713.7922746999996,Canada West Coast,Canada
CSARDCSCH,Chilean sardine Central-Southern Chile,2020,1.023,1.068,289789.99999999994,South America,Chile
CTRACSA,Cape horse mackerel South Africa South coast,2019,2.58,0.152608695652174,56066.00000000006,Southern Africa,South Africa
DEEPCHAKESA,Deep water cape hake South Africa,2015,0.98,1.14,118900.00000000052,Southern Africa,South Africa
DEEPFLATHEADSE,Deepwater flathead Southeast Australia,2015,1.67037240359165,0.300224008212223,1200.123574000001,Australia,Australia
DKROCKPCOAST,Darkblotched rockfish Pacific Coast,2016,0.955834845820368,0.28,639.1909789999997,US West Coast,USA
DSOLEPCOAST,Dover sole Pacific Coast,2010,3.47908180212941,0.129770992366412,34756.99999999996,US West Coast,USA
ECSOLESASC,East coast sole South Africa South coast,2019,1.5371614742415,0.200040733197556,491.0000000000005,Southern Africa,South Africa
ESOLEPCOAST,English sole Pacific Coast,2006,6.46644192460926,0.271428571428571,4252.000000000005,US West Coast,USA
FLSOLEBSAI,Flathead sole Bering Sea and Aleutian Islands,2010,2.3348243758505,0.166374269005848,90653.2479999999,US Alaska,USA
GAGSATLC,Gag Southern Atlantic coast,2004,0.928099579625485,1.36271186440678,425.5603897000002,US Southeast and Gulf,USA
GEMFISHNZ,Common gemfish New Zealand,2006,1.63613820697257,0.163836168943765,1432.0427330000016,New Zealand,New Zealand
GOPHERSPCOAST,Gopher rockfish Southern Pacific Coast,2004,2.6039603960396,0.191,101,US West Coast,USA
GRAMBERGM,Greater amberjack Gulf of Mexico,2012,0.265212803376715,1.44999997825,1632.9326400000004,US Southeast and Gulf,USA
GRAMBERSATLC,Greater amberjack Southern Atlantic coast,2006,1.0979381443299,0.298662775738561,909.45,US Southeast and Gulf,USA
GRNSTROCKPCOAST,Greenstriped rockfish Pacific Coast,2009,2.81510544384502,0.00439882697947214,802.9999999999972,US West Coast,USA
GRSNAPGM,Gray snapper Gulf of Mexico,2015,0.703821175049086,1.17130432745558,1100.0000000000002,US Southeast and Gulf,USA
GRSPROCKNCAL,Greenspotted rockfish Northern Pacific Coast,2010,1.21641791044776,0,58.80000000000003,US West Coast,USA
GRSPROCKSCAL,Greenspotted rockfish Southern Pacific Coast,2010,1.59444444444444,0.116666666666667,55.89999999999988,US West Coast,USA
GSTRGZRSTA7,Giant stargazer NZ Area STA7,2007,1.43,1.09773552219206,608.0000000000008,New Zealand,New Zealand
GTRIGGM,Gray triggerfish Gulf of Mexico,2013,0.544144144144144,0.69281045751634,446.52050070000087,US Southeast and Gulf,USA
HAD4X5Y,"Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine",2010,0.821153846153846,0.78109884,14449.295553308839,Canada East Coast,Canada
HAD5Y,Haddock Gulf of Maine,2016,7.06470675136652,0.297826081776938,1547.000000000003,US East Coast,USA
HADFAPL,Haddock Faroe Plateau,2011,0.424418859169111,2.46060606060606,35562.01100573067,Europe non EU,Faroe Islands
HADGB,Haddock Georges Bank,2016,2.78322724135286,0.882857157991837,24372.000000000004,US East Coast,USA
HADROCK,Haddock Rockall Bank,2011,2.22898706896552,1.32916666666667,8130.004763592229,European Union,Great Britain
HAKESPPSAF,Hake spp Southern Africa,2019,0.723831949816961,0.95159167769589,303687.0000000003,Southern Africa,Namibia
HERRNWATLC,Herring Northwestern Atlantic Coast,2014,2.00228189429366,0.666666666666667,111999.99999999999,US East Coast,USA
HOKIENZ,Hoki Eastern New Zealand,2015,1.51609427062903,0.3,73099.99999999999,New Zealand,New Zealand
HOKIWNZ,Hoki Western New Zealand,2015,1.09468686143266,0.616,119800.00000000006,New Zealand,New Zealand
JAMBERJPN,Japanese amberjack Japan,2013,0.335920093007876,2.05013512254217,134880.32770000005,Japan,Japan
JANCHOPJPN,Japanese anchovy Pacific Coast of Japan,2013,1.1690314530682,0.551111111111111,265609.5972,Japan,Japan
JANCHOSETO,Japanese anchovy Inland Sea of Japan,2018,1.10919135683966,0.727762803234501,69571.404,Japan,Japan
JANCHOTSST,Japanese anchovy Tsushima Strait,2018,0.141621328172023,1.4247311827957,149715.11179999978,Japan,Japan
JCSQUIDJPNAR,Japanese flying squid Japan Autumn recruitment,2014,3.48291076486202,0.224215246636771,300926.45799999987,Japan,Japan
JCSQUIDJPNWR,Japanese flying squid Japan Winter recruitment,2014,1.69649795822451,0.537382497213817,222668.70299999998,Japan,Japan
JMACKPJPN,Japanese jack mackerel Pacific Coast of Japan,2019,0.333333333333333,1.23919308357349,38000.00000000003,Japan,Japan
JMACKTSST,Japanese jack mackerel Tsushima Strait,2019,1.11417322834646,0.895061728395062,157999.9999999999,Japan,Japan
JPUFFIMKB,Japanese pufferfish Ise and Mikawa Bay,2013,0.149603174603175,1.78457106274008,133.7354381000001,Japan,Japan
JPUFFSOJECSSI,Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea,2013,0.73731884057971,1.31116588870824,257.5122692,Japan,Japan
KCROCKNPAC,Kichiji rockfish North Pacific,2013,1.46181653863534,0.366158828291749,743.5679999999998,Japan,Japan
KELPGREENLINGORECOAST,Kelp greenling Oregon Coast,2004,2.34886649874055,0.593696275071634,129.99999999999997,US West Coast,USA
LINGCODNPCOAST,Lingcod Northern Pacific Coast,2016,1.40046775149878,0.250399994536727,3196.999999999993,US West Coast,USA
LINGCODSPCOAST,Lingcod Southern Pacific Coast,2016,0.737879047037263,0.597327259694678,1731.9999999999995,US West Coast,USA
LNOSESKAPCOAST,Longnose skate Pacific Coast,2007,1.76313785224676,0.8,1267.999999999999,US West Coast,USA
LSTHORNHPCOAST,Longspine thornyhead Pacific Coast,2012,2.18950259383583,0.142857142857143,2529.0000000000027,US West Coast,USA
MONKGOMNGB,Monkfish Gulf of Maine / Northern Georges Bank,2011,1.31310500499197,0.22806841632881,9383.000000000015,US East Coast,USA
MONKSGBMATL,Monkfish Southern Georges Bank / Mid-Atlantic,2011,1.54883000544184,0.385280286567974,14328.000000000013,US East Coast,USA
MORWONGESE,Jackass morwong Eastern half of Southeast Australia,2017,1.05131843478729,4.33620238383834,410.51185220000036,Australia,Australia
MORWONGWSE,Jackass morwong Western half of Southeast Australia,2017,2.32593295836669,0.26639220806649,180.41785820000015,Australia,Australia
MUTSNAPSATLCGM,Mutton snapper Southern Atlantic coast and Gulf of Mexico,2013,1.13323850165955,0.977777777777778,413.9,US Southeast and Gulf,USA
NROCKGA,Northern rockfish Gulf of Alaska,2010,2.01841944047376,0.366349750485644,6615.960893854752,US Alaska,USA
NRSOLEEBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,2012,2.89162903225806,0.365853658536585,265231.6087365595,US Alaska,USA
NZLINGLIN3-4,Ling New Zealand Areas LIN 3 and 4,2011,1.42693844985385,0.117057669314333,6423.9999999999945,New Zealand,New Zealand
NZLINGLIN5-6,Ling New Zealand Areas LIN 5 and 6,2011,2.07446600804405,0.0481324103998078,23826.99999999998,New Zealand,New Zealand
NZLINGLIN6b,Ling New Zealand Areas LIN 6b,2006,2.18639106593499,0.222002728476962,893.8449000000004,New Zealand,New Zealand
NZLINGLIN72,Ling New Zealand Areas LIN 72,2007,1.26357581793668,0.415833314749975,544.2439999999998,New Zealand,New Zealand
NZLINGLIN7WC,Ling New Zealand Areas LIN 7WC-WCSI,2008,1.70554503578959,0.180466300132605,5149.999999999995,New Zealand,New Zealand
NZSNAPNZ7,New Zealand snapper New Zealand SNA 7,2013,0.663031554494418,0.927,698.9999999999999,New Zealand,New Zealand
NZSNAPNZ8,New Zealand snapper New Zealand Area 8 (Auckland and Central West),2005,0.353074416513298,3.9064126589712602,2284.707600000001,New Zealand,New Zealand
OFLOUNECS,Japanese flounder East China Sea,2013,0.332747193290951,2.4233814527754,1181.7638059999995,Japan,Japan
OFLOUNNSJ,Japanese flounder Sea of Japan North,2013,0.233766233766234,2.06851971557854,1556.2241230000006,Japan,Japan
OFLOUNPAC,Japanese flounder Pacific Ocean,2012,1.39720171006607,0.388367561682396,2156.173999999998,Japan,Japan
OFLOUNSETO,Japanese flounder Inland Sea of Japan,2013,0.485370051635112,1.41208303386462,874.6563097999999,Japan,Japan
OROUGHYNWCR,Orange roughy Northwest Chatham Rise,2014,1.04,0.06,1386,New Zealand,New Zealand
